datetime,retraining_flag,model_name,MLPPredictor,LSTMSoftplusPredictor,TransformerPredictor,SigmaLSTMPredictor
2018-07-09 17:00:00,False,,1.0145332,5.6980418e-05,5.769563e-05,7.325833e-05
2018-07-09 18:00:00,False,,1.0751319,5.6980418e-05,5.7576428e-05,0.00910752
2018-07-09 19:00:00,False,,0.996697,5.674201e-05,5.769563e-05,0.009126099
2018-07-09 20:00:00,False,,1.0302113,5.674201e-05,5.7576428e-05,0.0003353795
2018-07-09 21:00:00,False,,1.0405436,5.6980418e-05,5.7576428e-05,0.0049465825
2018-07-09 22:00:00,False,,1.1019138,5.6503606e-05,5.769563e-05,0.013344905
2018-07-09 23:00:00,False,,1.0872215,5.709962e-05,5.769563e-05,0.006139116
2018-07-10 00:00:00,False,,1.2680756,5.7218822e-05,5.805324e-05,0.012307148
2018-07-10 01:00:00,False,,1.3669058,5.674201e-05,5.805324e-05,0.009557596
2018-07-10 02:00:00,False,,1.4247042,5.709962e-05,5.805324e-05,3.9600177e-06
2018-07-10 03:00:00,False,,1.1803378,5.6980418e-05,5.7934038e-05,0.03383412
2018-07-10 04:00:00,False,,1.2602068,5.674201e-05,5.817244e-05,0.0060876864
2018-07-10 05:00:00,False,,1.3022771,5.674201e-05,5.7934038e-05,0.0047032186
2018-07-10 06:00:00,False,,1.2970744,5.709962e-05,5.7934038e-05,0.004974852
2018-07-10 07:00:00,False,,1.3398162,5.709962e-05,5.805324e-05,0.0011134085
2018-07-10 08:00:00,False,,1.4930633,5.674201e-05,5.805324e-05,0.006652188
2018-07-10 09:00:00,False,,1.3604109,5.6980418e-05,5.7814836e-05,0.017466828
2018-07-10 10:00:00,False,,1.2735436,5.8410846e-05,5.7576428e-05,0.012827058
2018-07-10 11:00:00,False,,1.3565294,5.6503606e-05,5.7576428e-05,6.0545222e-05
2018-07-10 12:00:00,False,,1.4810903,5.805324e-05,5.7457226e-05,0.0019217322
2018-07-10 13:00:00,False,,1.4031432,5.674201e-05,5.6861216e-05,0.020254306
2018-07-10 14:00:00,False,,1.4711758,5.662281e-05,5.709962e-05,0.046336543
2018-07-10 15:00:00,False,,1.4075569,5.6980418e-05,5.6861216e-05,0.041683123
2018-07-10 16:00:00,False,,1.4120262,5.674201e-05,5.674201e-05,0.0009829297
2018-07-10 17:00:00,False,,1.4135927,5.709962e-05,5.6861216e-05,0.01273742
2018-07-10 18:00:00,False,,1.4041374,5.674201e-05,5.6861216e-05,0.004232952
2018-07-10 19:00:00,False,,1.4125365,5.674201e-05,5.6861216e-05,0.023967594
2018-07-10 20:00:00,False,,1.4053534,5.6861216e-05,5.6980418e-05,0.09308414
2018-07-10 21:00:00,False,,1.4795443,5.662281e-05,5.6980418e-05,0.0065075983
2018-07-10 22:00:00,False,,1.372267,5.6980418e-05,5.6861216e-05,0.0002547388
2018-07-11 00:00:00,False,,1.414355,5.6861216e-05,5.6980418e-05,0.0048899786
2018-07-11 01:00:00,False,,1.4779389,5.5907592e-05,5.7576428e-05,0.013887625
2018-07-11 02:00:00,False,,1.536167,5.709962e-05,5.6861216e-05,0.0032922898
2018-07-11 03:00:00,False,,1.3788645,5.6861216e-05,5.6384404e-05,0.009007407
2018-07-11 04:00:00,False,,1.3925005,5.7218822e-05,5.662281e-05,0.0068443213
2018-07-11 05:00:00,False,,1.4434197,5.662281e-05,5.674201e-05,0.0071968487
2018-07-11 06:00:00,False,,1.4307251,5.6980418e-05,5.6503606e-05,0.01240197
2018-07-11 07:00:00,False,,1.4096886,5.709962e-05,5.6384404e-05,0.0052626915
2018-07-11 08:00:00,False,,1.3768753,5.6384404e-05,5.6384404e-05,0.016223816
2018-07-11 09:00:00,False,,1.4264437,5.662281e-05,5.6861216e-05,0.0027218536
2018-07-11 10:00:00,False,,1.4888985,5.709962e-05,5.6861216e-05,0.014708539
2018-07-11 12:00:00,False,,1.5088601,5.674201e-05,5.6980418e-05,0.003121016
2018-07-11 13:00:00,False,,1.6157126,5.6861216e-05,5.7338024e-05,0.0075465953
2018-07-11 14:00:00,False,,1.6214141,5.674201e-05,5.7338024e-05,0.00010022495
2018-07-11 15:00:00,False,,1.5909266,5.6861216e-05,5.7338024e-05,0.022729812
2018-07-11 16:00:00,False,,1.5959922,5.6861216e-05,5.7338024e-05,0.005577588
2018-07-11 17:00:00,False,,1.538012,5.6980418e-05,5.709962e-05,0.006040137
2018-07-11 18:00:00,False,,1.569518,5.674201e-05,5.709962e-05,0.010065816
2018-07-11 19:00:00,False,,1.6037287,5.6980418e-05,5.7338024e-05,0.0005522585
2018-07-11 20:00:00,False,,1.5671641,5.674201e-05,5.7218822e-05,0.004115015
2018-07-11 21:00:00,False,,1.6441207,5.674201e-05,5.7576428e-05,0.0035753618
2018-07-11 22:00:00,False,,1.8077605,5.674201e-05,5.7934038e-05,0.0025785326
2018-07-11 23:00:00,False,,1.6523596,5.674201e-05,5.7814836e-05,0.0153192915
2018-07-12 00:00:00,False,,1.5554996,5.674201e-05,5.7218822e-05,0.01672128
2018-07-12 01:00:00,False,,1.4572476,5.6980418e-05,5.6980418e-05,0.029480886
2018-07-12 02:00:00,False,,1.438153,5.7218822e-05,5.6861216e-05,0.01651297
2018-07-12 03:00:00,False,,1.4853094,5.6861216e-05,5.6980418e-05,0.009908493
2018-07-12 04:00:00,False,,1.5125246,5.674201e-05,5.709962e-05,0.03507962
2018-07-12 05:00:00,False,,1.4563285,5.6861216e-05,5.6861216e-05,0.0006036326
2018-07-12 06:00:00,False,,1.4901534,5.6861216e-05,5.6861216e-05,6.850119e-05
2018-07-12 07:00:00,False,,1.3510345,5.805324e-05,5.6503606e-05,6.2988847e-06
2018-07-12 08:00:00,False,,1.471785,5.7218822e-05,5.709962e-05,0.006406527
